,resp_r_1,prob_x_l,prob_x_r,mag_left,mag_right,info_amb,num_revealed,revealed_x_r,resp_amb_1,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_o_l,prob_o_r,revealed_x_ambig,revealed_o_ambig,prob_x_ambig_bayes_emmas,prob_x_ambig_bayes_mine,prob_x_ambig_bayes,info_amb_sqrt,ambig_r,ambig_l,ambiguityLevel,revealed_ambi,gain_or_loss_trial,MID
0,1.0,0.33999999999999997,0.24,0.48,0.29,1.0,50.0,12.0,1.0,0.29,0.48,0.33999999999999997,0.24,0.66,0.76,12.0,38.0,,0.25,0.25,1.0,0,0.0,0.0,1.0,gain,S20
1,0.0,0.16000000000000003,0.54,0.38,0.64,1.0,50.0,27.0,0.0,0.64,0.38,0.16000000000000003,0.54,0.84,0.45999999999999996,27.0,23.0,,0.5384615384615384,0.5384615384615384,1.0,0,0.0,0.0,1.0,gain,S20
2,1.0,0.88,0.15,1.24,0.05,0.4,20.0,3.0,1.0,0.05,1.24,0.88,0.15,0.12,0.85,3.0,17.0,0.18181636365454484,0.18181818181818182,0.18181818181818182,0.6324555320336759,1,0.0,0.3675444679663241,0.6324555320336759,gain,S20
3,1.0,0.24,0.125,0.2,0.06,0.8,40.0,5.0,1.0,0.06,0.2,0.24,0.125,0.76,0.875,5.0,35.0,0.14285571429999885,0.14285714285714285,0.14285714285714285,0.8944271909999159,1,0.0,0.10557280900008414,0.8944271909999159,gain,S20
4,0.0,0.4,0.28,0.07,0.08,1.0,50.0,14.000000000000002,0.0,0.08,0.07,0.4,0.28,0.6,0.72,14.000000000000002,36.0,,0.2884615384615385,0.2884615384615385,1.0,0,0.0,0.0,1.0,gain,S20
5,0.0,0.07999999999999996,0.1,0.64,0.64,0.2,10.0,1.0000000000000002,0.0,0.64,0.64,0.07999999999999996,0.1,0.92,0.9,1.0000000000000002,9.0,0.16666500001666681,0.16666666666666666,0.16666666666666666,0.4472135954999579,1,0.0,0.5527864045000421,0.4472135954999579,gain,S20
6,0.0,0.28,0.36,0.87,0.84,1.0,50.0,18.0,0.0,0.84,0.87,0.28,0.36,0.72,0.64,18.0,32.0,,0.36538461538461536,0.36538461538461536,1.0,0,0.0,0.0,1.0,gain,S20
7,0.0,0.24,1.0,0.65,1.34,0.02,1.0,1.0,0.0,1.34,0.65,0.24,1.0,0.76,0.0,1.0,0.0,0.6666700000000011,0.6666666666666666,0.6666666666666666,0.1414213562373095,1,0.0,0.8585786437626906,0.1414213562373095,gain,S20
8,0.0,0.24,0.5,0.13,0.29,0.2,10.0,5.0,0.0,0.29,0.13,0.24,0.5,0.76,0.5,5.0,5.0,0.4999950000500015,0.5,0.5,0.4472135954999579,1,0.0,0.5527864045000421,0.4472135954999579,gain,S20
9,0.0,0.26,0.56,0.4,0.68,1.0,50.0,28.000000000000004,0.0,0.68,0.4,0.26,0.56,0.74,0.43999999999999995,28.000000000000004,21.999999999999996,,0.5576923076923077,0.5576923076923077,1.0,0,0.0,0.0,1.0,gain,S20
10,1.0,0.8,0.4,0.75,0.94,0.1,5.0,2.0000000000000004,1.0,0.94,0.75,0.8,0.4,0.19999999999999996,0.6,2.0000000000000004,2.9999999999999996,0.4285671428999988,0.42857142857142866,0.42857142857142866,0.31622776601683794,1,0.0,0.683772233983162,0.31622776601683794,gain,S20
11,1.0,0.88,0.0,1.24,0.05,0.2,10.0,0.0,1.0,0.05,1.24,0.88,0.0,0.12,1.0,0.0,10.0,0.08333249991666761,0.08333333333333333,0.08333333333333333,0.4472135954999579,1,0.0,0.5527864045000421,0.4472135954999579,gain,S20
12,0.0,0.18000000000000005,0.76,0.12,0.87,1.0,50.0,38.0,0.0,0.87,0.12,0.18000000000000005,0.76,0.82,0.24,38.0,12.0,,0.75,0.75,1.0,0,0.0,0.0,1.0,gain,S20
13,0.0,0.43999999999999995,1.0,0.94,0.98,0.02,1.0,1.0,0.0,0.98,0.94,0.43999999999999995,1.0,0.56,0.0,1.0,0.0,0.6666700000000011,0.6666666666666666,0.6666666666666666,0.1414213562373095,1,0.0,0.8585786437626906,0.1414213562373095,gain,S20
14,0.0,0.16000000000000003,0.5,0.2,0.45,0.04,2.0,1.0,0.0,0.45,0.2,0.16000000000000003,0.5,0.84,0.5,1.0,1.0,0.4999949999999967,0.5,0.5,0.2,1,0.0,0.8,0.2,gain,S20
15,1.0,0.19999999999999996,0.24,0.38,0.39,1.0,50.0,12.0,1.0,0.39,0.38,0.19999999999999996,0.24,0.8,0.76,12.0,38.0,,0.25,0.25,1.0,0,0.0,0.0,1.0,gain,S20
16,1.0,0.24,0.0,0.86,0.78,0.06,3.0,0.0,1.0,0.78,0.86,0.24,0.0,0.76,1.0,0.0,3.0,0.19999799998666642,0.2,0.2,0.2449489742783178,1,0.0,0.7550510257216823,0.2449489742783178,gain,S20
17,0.0,0.4,0.4,1.0,0.98,0.1,5.0,2.0000000000000004,0.0,0.98,1.0,0.4,0.4,0.6,0.6,2.0000000000000004,2.9999999999999996,0.4285671428999988,0.42857142857142866,0.42857142857142866,0.31622776601683794,1,0.0,0.683772233983162,0.31622776601683794,gain,S20
18,0.0,0.6,0.92,0.2,0.54,1.0,50.0,46.0,0.0,0.54,0.2,0.6,0.92,0.4,0.07999999999999996,46.0,4.0,,0.9038461538461539,0.9038461538461539,1.0,0,0.0,0.0,1.0,gain,S20
19,1.0,0.48,0.07999999999999996,0.29,0.16,1.0,50.0,3.9999999999999982,1.0,0.16,0.29,0.48,0.07999999999999996,0.52,0.92,3.9999999999999982,46.0,,0.09615384615384612,0.09615384615384612,1.0,0,0.0,0.0,1.0,gain,S20
20,0.0,0.12,0.25,0.06,0.08,0.4,20.0,5.0,0.0,0.08,0.06,0.12,0.25,0.88,0.75,5.0,15.0,0.2727245454818167,0.2727272727272727,0.2727272727272727,0.6324555320336759,1,0.0,0.3675444679663241,0.6324555320336759,gain,S20
21,1.0,0.48,0.28,0.58,0.21,1.0,50.0,14.000000000000002,1.0,0.21,0.58,0.48,0.28,0.52,0.72,14.000000000000002,36.0,,0.2884615384615385,0.2884615384615385,1.0,0,0.0,0.0,1.0,gain,S20
22,0.0,0.06000000000000005,0.75,0.2,0.8,0.08,4.0,3.0,0.0,0.8,0.2,0.06000000000000005,0.75,0.94,0.25,3.0,1.0,0.6666599999000034,0.6666666666666666,0.6666666666666666,0.282842712474619,1,0.0,0.717157287525381,0.282842712474619,gain,S20
